선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
페르난데스,두산,2019,0.344,144,572,87,15,0.409,0.483,0.892,0.313,104.2,['1루수'],-0.36,117,3.0,1.0,33.3
박건우,두산,2019,0.319,127,458,83,10,0.397,0.465,0.862,0.284,82.1,"['우익수', '중견수']",0.045500000000000006,1002 1/3,15.0,12.0,80.0
이흥련,두산,2019,0.310,27,42,3,0,0.341,0.405,0.746,0.222,5.1,['포수'],0.292,91,0.0,0.0,-
오재일,두산,2019,0.293,130,467,76,21,0.369,0.495,0.864,0.344,84.0,['1루수'],-0.158,1044,3.0,2.0,66.7
허경민,두산,2019,0.288,133,475,71,4,0.350,0.371,0.721,0.324,63.4,"['3루수', '2루수']",0.1315,1082,16.0,11.0,68.8
김재환,두산,2019,0.283,136,495,76,15,0.362,0.434,0.796,0.3,82.7,['좌익수'],-0.949,1010,4.0,3.0,75.0
박세혁,두산,2019,0.279,137,441,58,4,0.345,0.390,0.735,0.291,62.9,['포수'],2.67,1071 2/3,10.0,8.0,80.0
최주환,두산,2019,0.277,87,285,27,4,0.332,0.365,0.697,0.281,37.5,"['2루수', '1루수', '3루수']",-0.07066666666666667,522,0.0,0.0,-
김재호,두산,2019,0.268,130,377,51,4,0.379,0.358,0.737,0.257,59.0,['유격수'],1.701,993 1/3,6.0,3.0,50.0
정수빈,두산,2019,0.265,123,441,75,0,0.354,0.331,0.685,0.245,59.1,['중견수'],1.037,1012 2/3,34.0,26.0,76.5
류지혁,두산,2019,0.250,118,276,36,0,0.323,0.286,0.609,0.263,29.3,"['유격수', '2루수', '3루수']",0.1578,691,23.0,18.0,78.3
김인태,두산,2019,0.233,26,60,6,2,0.319,0.400,0.719,0.1,7.9,"['좌익수', '우익수']",0.1225,160,2.0,1.0,50.0
이유찬,두산,2019,0.231,25,13,6,0,0.231,0.231,0.462,0.286,1.5,"['2루수', '3루수']",-0.0475,33 2/3,5.0,5.0,100
