선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
김도영,3루수,0.444,40,36,7,16,1,0,4,10,0,3,6,0,0,0,1,0.475,0.806,1.281,1,KIA,11,30,3,0.219,0.33,3루수,15.961999999999994
김도영,3루수,0.444,40,36,7,16,1,0,4,10,0,3,6,0,0,0,1,0.475,0.806,1.281,1,KIA,11,30,3,-0.016,0.33,3루수,15.961999999999994
소크라테스,좌익수,0.347,81,72,19,25,6,0,5,14,1,6,14,0,0,0,2,0.395,0.639,1.034,1,KIA,14,9,3,0.069,0.34,좌익수,17.958
소크라테스,좌익수,0.347,81,72,19,25,6,0,5,14,1,6,14,0,0,0,2,0.395,0.639,1.034,1,KIA,14,9,3,-0.032,0.34,좌익수,17.958
소크라테스,좌익수,0.347,81,72,19,25,6,0,5,14,1,6,14,0,0,0,2,0.395,0.639,1.034,1,KIA,14,9,3,-1.164,0.34,좌익수,17.958
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,-0.025,0.28,2루수,1.2820000000000005
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,-0.178,0.28,2루수,1.2820000000000005
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,0.0,0.28,2루수,1.2820000000000005
김선빈,2루수,0.333,11,9,3,3,1,0,0,0,1,1,1,3,0,0,0,0.455,0.444,0.899,1,KIA,2,3,0,0.0,0.28,2루수,1.2820000000000005
박찬호,유격수,0.283,249,230,38,65,10,0,2,19,1,13,25,4,0,3,2,0.321,0.352,0.673,1,KIA,53,15,10,1.116,0.324,유격수,25.17
서건창,2루수,0.267,79,60,13,16,3,0,0,7,0,16,10,1,0,2,1,0.416,0.317,0.733,1,KIA,13,3,1,0.173,0.308,1루수,10.36
서건창,2루수,0.267,79,60,13,16,3,0,0,7,0,16,10,1,0,2,1,0.416,0.317,0.733,1,KIA,13,3,1,-0.542,0.308,1루수,10.36
이창진,좌익수,0.25,29,24,3,6,0,0,0,1,1,4,6,1,0,0,0,0.379,0.25,0.629,1,KIA,6,3,1,0.05,0.146,좌익수,2.8819999999999997
이창진,좌익수,0.25,29,24,3,6,0,0,0,1,1,4,6,1,0,0,0,0.379,0.25,0.629,1,KIA,6,3,1,-0.216,0.146,좌익수,2.8819999999999997
이창진,좌익수,0.25,29,24,3,6,0,0,0,1,1,4,6,1,0,0,0,0.379,0.25,0.629,1,KIA,6,3,1,-0.237,0.146,좌익수,2.8819999999999997
최원준,중견수,0.091,13,11,2,1,0,0,0,0,0,2,3,0,0,0,0,0.231,0.091,0.322,1,KIA,1,17,8,-0.002,0.33,중견수,0.7560000000000002
최원준,중견수,0.091,13,11,2,1,0,0,0,0,0,2,3,0,0,0,0,0.231,0.091,0.322,1,KIA,1,17,8,-0.329,0.33,중견수,0.7560000000000002
박찬호,유격수,0.421,24,19,7,8,1,1,0,5,0,5,0,1,0,0,0,0.542,0.579,1.121,2,KIA,6,15,10,1.116,0.324,유격수,4.6
서건창,2루수,0.4,12,10,2,4,0,0,0,0,0,2,2,0,0,0,0,0.5,0.4,0.9,2,KIA,4,3,1,0.173,0.308,1루수,2.3440000000000003
서건창,2루수,0.4,12,10,2,4,0,0,0,0,0,2,2,0,0,0,0,0.5,0.4,0.9,2,KIA,4,3,1,-0.542,0.308,1루수,2.3440000000000003
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,-0.025,0.28,2루수,6.797999999999999
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,-0.178,0.28,2루수,6.797999999999999
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,0.0,0.28,2루수,6.797999999999999
김선빈,2루수,0.345,31,29,4,10,2,0,2,6,0,2,4,0,0,0,0,0.387,0.621,1.008,2,KIA,6,3,0,0.0,0.28,2루수,6.797999999999999
김도영,3루수,0.336,168,149,34,50,7,2,9,22,3,13,29,0,1,1,2,0.395,0.591,0.986,2,KIA,32,30,3,0.219,0.33,3루수,37.508
김도영,3루수,0.336,168,149,34,50,7,2,9,22,3,13,29,0,1,1,2,0.395,0.591,0.986,2,KIA,32,30,3,-0.016,0.33,3루수,37.508
최원준,중견수,0.322,132,115,24,37,5,0,4,18,3,11,18,2,0,2,1,0.392,0.47,0.862,2,KIA,28,17,8,-0.002,0.33,중견수,21.166000000000004
최원준,중견수,0.322,132,115,24,37,5,0,4,18,3,11,18,2,0,2,1,0.392,0.47,0.862,2,KIA,28,17,8,-0.329,0.33,중견수,21.166000000000004
이창진,좌익수,0.304,61,46,11,14,5,0,0,4,1,12,6,2,0,1,1,0.45,0.413,0.863,2,KIA,9,3,1,0.05,0.146,좌익수,9.481999999999996
이창진,좌익수,0.304,61,46,11,14,5,0,0,4,1,12,6,2,0,1,1,0.45,0.413,0.863,2,KIA,9,3,1,-0.216,0.146,좌익수,9.481999999999996
이창진,좌익수,0.304,61,46,11,14,5,0,0,4,1,12,6,2,0,1,1,0.45,0.413,0.863,2,KIA,9,3,1,-0.237,0.146,좌익수,9.481999999999996
소크라테스,좌익수,0.304,55,46,9,14,3,0,3,12,1,8,10,0,0,0,0,0.418,0.565,0.983,2,KIA,8,9,3,0.069,0.34,좌익수,11.239999999999998
소크라테스,좌익수,0.304,55,46,9,14,3,0,3,12,1,8,10,0,0,0,0,0.418,0.565,0.983,2,KIA,8,9,3,-0.032,0.34,좌익수,11.239999999999998
소크라테스,좌익수,0.304,55,46,9,14,3,0,3,12,1,8,10,0,0,0,0,0.418,0.565,0.983,2,KIA,8,9,3,-1.164,0.34,좌익수,11.239999999999998
김도영,3루수,0.353,245,215,62,76,16,3,16,50,1,27,45,3,4,0,2,0.424,0.679,1.103,3,KIA,41,30,3,0.219,0.33,3루수,58.54
김도영,3루수,0.353,245,215,62,76,16,3,16,50,1,27,45,3,4,0,2,0.424,0.679,1.103,3,KIA,41,30,3,-0.016,0.33,3루수,58.54
