선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
로하스,좌익수,0.372,273,242,50,90,17,0,14,51,4,26,39,3,3,0,1,0.44,0.616,1.056,1,KT,59,1,1,0.563,0.32,"좌익수,좌익수,중견수,우익수",56.95800000000002
김민혁,좌익수,0.3,12,10,0,3,0,0,0,2,0,2,1,0,0,0,0,0.417,0.3,0.717,1,KT,3,2,0,-0.039,0.27,"좌익수,좌익수,중견수,우익수",1.902
배정대,중견수,0.268,77,71,6,19,3,0,1,9,0,4,22,0,0,0,2,0.299,0.352,0.651,1,KT,15,8,5,-0.676,0.258,중견수,8.184
배정대,중견수,0.37,32,27,3,10,1,1,1,2,0,4,3,0,0,0,1,0.438,0.593,1.031,2,KT,7,8,5,-0.676,0.258,중견수,6.715999999999998
황재균,3루수,0.303,40,33,6,10,1,0,1,4,0,6,6,0,0,0,1,0.4,0.424,0.824,2,KT,8,4,6,-0.341,0.234,"1루수,유격수,3루수,3루수",5.252
강백호,0,0.302,196,179,30,54,9,0,9,29,0,17,35,3,1,0,0,0.362,0.503,0.865,2,KT,36,5,2,-0.164,0.257,",우익수,포수",30.749999999999993
로하스,좌익수,0.28,34,25,3,7,1,0,1,5,1,7,8,1,2,0,1,0.441,0.44,0.881,2,KT,5,1,1,0.563,0.32,"좌익수,좌익수,중견수,우익수",5.376
김상수,유격수,0.182,27,22,3,4,1,0,0,4,0,5,7,0,0,0,0,0.333,0.227,0.56,2,KT,3,2,1,0.87,0.329,"유격수,유격수,2루수",2.2840000000000007
김민혁,좌익수,0.164,68,61,3,10,1,0,0,5,1,5,9,4,0,1,0,0.239,0.18,0.419,2,KT,9,2,0,-0.039,0.27,"좌익수,좌익수,중견수,우익수",1.5180000000000002
강백호,0,0.321,182,159,32,51,9,0,12,29,0,21,35,3,2,0,2,0.396,0.604,1.0,3,KT,30,5,2,-0.164,0.257,",우익수,포수",35.61000000000001
로하스,좌익수,0.294,152,126,24,37,11,0,8,23,1,25,28,3,1,0,0,0.414,0.571,0.985,3,KT,18,1,1,0.563,0.32,"좌익수,좌익수,중견수,우익수",27.705999999999996
김상수,유격수,0.207,33,29,1,6,1,1,0,5,1,3,5,1,0,0,0,0.303,0.31,0.613,3,KT,4,2,1,0.87,0.329,"유격수,유격수,2루수",2.6799999999999997
장성우,포수,0.171,41,35,1,6,1,0,0,3,0,4,8,2,0,1,1,0.25,0.2,0.45,3,KT,5,4,0,1.26,0.267,포수,2.2960000000000003
문상철,1루수,0.154,43,39,4,6,0,0,2,4,1,2,8,3,0,1,0,0.214,0.308,0.522,3,KT,4,3,1,0.726,0.258,"1루수,좌익수,1루수",2.0160000000000005
문상철,1루수,0.28,153,132,18,37,3,0,5,20,4,16,41,1,1,0,1,0.373,0.417,0.79,4,KT,29,3,1,0.726,0.258,"1루수,좌익수,1루수",21.912
강백호,0,0.273,35,33,4,9,1,0,2,8,1,1,10,0,0,0,0,0.314,0.485,0.799,4,KT,6,5,2,-0.164,0.257,",우익수,포수",5.300000000000001
장성우,포수,0.269,122,104,12,28,5,0,7,25,0,16,25,3,0,0,2,0.361,0.519,0.88,4,KT,16,4,0,1.26,0.267,포수,20.43
로하스,좌익수,0.267,19,15,4,4,0,0,2,3,0,4,7,0,0,0,0,0.421,0.667,1.088,4,KT,2,1,1,0.563,0.32,"좌익수,좌익수,중견수,우익수",4.053999999999999
오재일,1루수,0.26,88,77,11,20,4,0,2,10,1,8,29,2,0,0,2,0.33,0.39,0.72,4,KT,14,0,0,-0.994,0.31,1루수,10.457999999999998
김상수,유격수,0.6,13,10,3,6,0,0,0,2,0,3,0,1,0,0,0,0.692,0.6,1.292,5,KT,6,2,1,0.87,0.329,"유격수,유격수,2루수",3.3299999999999996
장성우,포수,0.389,112,95,11,37,5,0,3,15,0,16,14,1,0,0,1,0.473,0.537,1.01,5,KT,29,4,0,1.26,0.267,포수,23.248
김민혁,좌익수,0.292,56,48,6,14,3,0,0,5,0,7,8,1,1,0,1,0.375,0.354,0.729,5,KT,11,2,0,-0.039,0.27,"좌익수,좌익수,중견수,우익수",7.185999999999999
강백호,0,0.289,41,38,5,11,1,0,1,6,0,3,10,0,0,0,0,0.341,0.395,0.736,5,KT,9,5,2,-0.164,0.257,",우익수,포수",5.43
문상철,1루수,0.234,56,47,8,11,1,0,3,8,0,8,11,2,0,0,1,0.339,0.447,0.786,5,KT,7,3,1,0.726,0.258,"1루수,좌익수,1루수",7.782000000000001
