선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
홍창기,우익수,0.31,350,287,51,89,4,3,2,40,6,54,50,6,2,1,2,0.427,0.366,0.793,1,LG,80,8,10,0.888,0.359,47.68000000000001
박해민,중견수,0.28,92,82,11,23,0,1,0,10,1,6,16,1,0,0,3,0.326,0.305,0.631,1,LG,22,32,7,0.412,0.227,13.241999999999999
홍창기,우익수,0.326,57,46,9,15,1,0,2,8,3,8,9,1,0,0,0,0.456,0.478,0.934,2,LG,12,8,10,0.888,0.359,8.347999999999999
신민재,2루수,0.304,26,23,2,7,1,0,0,0,0,3,4,0,0,0,0,0.385,0.348,0.733,2,LG,6,28,6,-0.113,0.311,6.388000000000001
박해민,중견수,0.275,106,91,15,25,2,2,1,11,1,10,17,1,0,1,3,0.343,0.374,0.717,2,LG,20,32,7,0.412,0.227,16.924
오스틴,1루수,0.429,30,28,8,12,1,0,2,5,0,2,2,2,1,0,0,0.467,0.679,1.146,3,LG,9,11,6,-0.686,0.29,6.554
문보경,3루수,0.294,19,17,0,5,2,0,0,2,0,2,3,1,0,0,0,0.368,0.412,0.78,3,LG,3,5,5,-0.709,0.258,1.4459999999999993
오스틴,1루수,0.296,373,321,52,95,20,2,18,72,3,38,60,3,5,0,11,0.365,0.539,0.904,4,LG,55,11,6,-0.686,0.29,65.58999999999999
문보경,3루수,0.25,44,36,7,9,1,1,3,10,1,6,8,1,0,0,1,0.364,0.583,0.947,4,LG,4,5,5,-0.709,0.258,7.266000000000001
문보경,3루수,0.323,184,158,22,51,9,0,7,26,0,19,34,5,3,1,6,0.383,0.513,0.896,5,LG,35,5,5,-0.709,0.258,30.057999999999993
박동원,포수,0.267,110,90,15,24,5,0,6,20,0,18,25,4,2,0,2,0.382,0.522,0.904,5,LG,13,1,0,1.337,0.299,17.98
오지환,유격수,0.25,47,44,6,11,2,0,0,3,0,3,13,0,0,0,0,0.298,0.295,0.593,5,LG,9,12,3,0.536,0.218,5.086
박동원,포수,0.333,77,63,14,21,3,0,5,14,0,11,18,2,0,0,3,0.416,0.619,1.035,6,LG,13,1,0,1.337,0.299,16.226000000000003
오지환,유격수,0.286,92,77,12,22,7,0,1,13,1,13,27,2,0,1,0,0.396,0.416,0.812,6,LG,14,12,3,0.536,0.218,13.573999999999996
구본혁,3루수,0.25,24,20,1,5,0,0,0,0,0,4,3,2,0,0,0,0.375,0.25,0.625,6,LG,5,3,4,-0.316,0.278,1.006
문보경,3루수,0.248,118,101,14,25,6,1,3,17,0,13,23,2,0,0,4,0.322,0.416,0.738,6,LG,15,5,5,-0.709,0.258,14.616
구본혁,3루수,0.271,129,118,16,32,6,0,1,12,0,10,19,2,0,1,0,0.328,0.347,0.675,7,LG,25,3,4,-0.316,0.278,12.328000000000001
박동원,포수,0.25,91,76,7,19,3,0,2,10,0,14,20,2,0,1,0,0.367,0.368,0.735,7,LG,14,1,0,1.337,0.299,10.99
오지환,유격수,0.25,69,56,13,14,6,1,1,7,1,12,17,1,0,0,0,0.391,0.446,0.837,7,LG,6,12,3,0.536,0.218,11.133999999999999
박해민,중견수,0.212,34,33,3,7,2,0,0,2,0,0,10,0,0,1,0,0.212,0.273,0.485,7,LG,5,32,7,0.412,0.227,5.079999999999999
신민재,2루수,0.308,16,13,5,4,0,0,0,0,0,3,2,0,0,0,0,0.438,0.308,0.746,8,LG,4,28,6,-0.113,0.311,5.314000000000001
구본혁,3루수,0.27,74,63,9,17,4,0,0,14,0,8,8,1,0,0,3,0.338,0.333,0.671,8,LG,13,3,4,-0.316,0.278,7.896000000000001
박해민,중견수,0.237,110,93,16,22,3,2,1,9,3,11,19,0,0,2,1,0.333,0.344,0.677,8,LG,16,32,7,0.412,0.227,15.868
오지환,유격수,0.231,15,13,2,3,2,0,1,2,1,1,5,0,0,0,0,0.333,0.615,0.948,8,LG,0,12,3,0.536,0.218,3.8200000000000003
박동원,포수,0.214,32,28,2,6,2,0,1,7,0,3,5,1,0,0,1,0.281,0.393,0.674,8,LG,3,1,0,1.337,0.299,3.5599999999999996
박동원,포수,0.5,11,10,2,5,1,0,0,4,0,0,2,0,0,0,1,0.455,0.6,1.055,9,LG,4,1,0,1.337,0.299,2.804
신민재,2루수,0.275,264,218,40,60,7,2,0,26,2,34,28,5,0,7,3,0.374,0.326,0.7,9,LG,51,28,6,-0.113,0.311,33.076
박해민,중견수,0.263,20,19,3,5,0,0,1,2,1,0,4,0,0,0,0,0.3,0.421,0.721,9,LG,4,32,7,0.412,0.227,6.007999999999998
구본혁,3루수,0.235,19,17,2,4,0,0,0,2,1,1,3,0,0,0,0,0.316,0.235,0.551,9,LG,4,3,4,-0.316,0.278,0.7460000000000002
