선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
홍창기,우익수,0.317,380,312,54,99,6,3,2,40,7,58,54,6,2,1,2,0.433,0.375,0.808,1,LG,88,8,10,0.896,0.358,우익수,53.438
홍창기,우익수,0.317,380,312,54,99,6,3,2,40,7,58,54,6,2,1,2,0.433,0.375,0.808,1,LG,88,8,10,-0.119,0.358,우익수,53.438
박해민,중견수,0.28,92,82,11,23,0,1,0,10,1,6,16,1,0,0,3,0.326,0.305,0.631,1,LG,22,34,10,0.422,0.223,중견수,12.642000000000001
김현수,0,0.333,25,24,5,8,0,0,1,4,0,1,3,0,0,0,0,0.36,0.458,0.818,2,LG,7,4,1,-0.025,0.243,,4.215999999999999
김현수,0,0.333,25,24,5,8,0,0,1,4,0,1,3,0,0,0,0,0.36,0.458,0.818,2,LG,7,4,1,-0.673,0.243,,4.215999999999999
신민재,2루수,0.333,41,36,4,12,1,0,0,1,0,4,5,0,0,1,0,0.4,0.361,0.761,2,LG,11,28,6,0.009,0.309,2루수,8.540000000000001
신민재,2루수,0.333,41,36,4,12,1,0,0,1,0,4,5,0,0,1,0,0.4,0.361,0.761,2,LG,11,28,6,-0.162,0.309,2루수,8.540000000000001
홍창기,우익수,0.326,57,46,9,15,1,0,2,8,3,8,9,1,0,0,0,0.456,0.478,0.934,2,LG,12,8,10,0.896,0.358,우익수,8.347999999999999
홍창기,우익수,0.326,57,46,9,15,1,0,2,8,3,8,9,1,0,0,0,0.456,0.478,0.934,2,LG,12,8,10,-0.119,0.358,우익수,8.347999999999999
박해민,중견수,0.275,106,91,15,25,2,2,1,11,1,10,17,1,0,1,3,0.343,0.374,0.717,2,LG,20,34,10,0.422,0.223,중견수,16.324
오지환,유격수,0.136,23,22,2,3,0,0,0,1,0,0,6,3,0,0,1,0.13,0.136,0.266,2,LG,3,12,3,0.838,0.235,유격수,0.2020000000000003
오스틴,1루수,0.348,54,46,13,16,1,0,3,10,0,8,3,3,1,0,0,0.444,0.565,1.009,3,LG,12,11,6,-0.556,0.304,1루수,9.896
김범석,0,0.346,26,26,0,9,1,0,0,3,0,0,9,1,0,0,0,0.346,0.385,0.731,3,LG,8,0,0,-0.034,0.233,,2.7479999999999998
김범석,0,0.346,26,26,0,9,1,0,0,3,0,0,9,1,0,0,0,0.346,0.385,0.731,3,LG,8,0,0,-0.096,0.233,,2.7479999999999998
문보경,3루수,0.294,19,17,0,5,2,0,0,2,0,2,3,1,0,0,0,0.368,0.412,0.78,3,LG,3,6,6,-0.307,0.263,3루수,1.306
문보경,3루수,0.294,19,17,0,5,2,0,0,2,0,2,3,1,0,0,0,0.368,0.412,0.78,3,LG,3,6,6,-0.697,0.263,3루수,1.306
김현수,0,0.294,346,306,40,90,15,2,6,43,3,31,44,7,0,0,6,0.358,0.415,0.773,3,LG,67,4,1,-0.025,0.243,,46.81800000000001
김현수,0,0.294,346,306,40,90,15,2,6,43,3,31,44,7,0,0,6,0.358,0.415,0.773,3,LG,67,4,1,-0.673,0.243,,46.81800000000001
오스틴,1루수,0.296,373,321,52,95,20,2,18,72,3,38,60,3,5,0,11,0.365,0.539,0.904,4,LG,55,11,6,-0.556,0.304,1루수,65.58999999999999
문보경,3루수,0.246,72,57,12,14,2,1,4,14,1,13,11,1,0,0,1,0.389,0.526,0.915,4,LG,7,6,6,-0.307,0.263,3루수,11.701999999999998
