선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
박민우,2루수,0.322,334,286,48,92,17,2,5,25,8,36,50,3,4,3,1,0.411,0.448,0.859,1,NC,68,23,5,1.177,0.255,54.18000000000001
권희동,좌익수,0.303,136,109,20,33,7,0,2,13,4,21,19,3,0,2,0,0.433,0.422,0.855,2,NC,24,3,0,0.2,0.38,20.937999999999995
서호철,3루수,0.232,81,69,10,16,2,0,1,6,5,4,17,1,0,1,2,0.313,0.304,0.617,2,NC,13,1,3,-0.092,0.244,7.164
박시원,좌익수,0.222,28,27,3,6,1,0,0,3,0,1,9,0,0,0,0,0.25,0.259,0.509,2,NC,5,1,0,0.097,0.385,1.7779999999999996
권희동,좌익수,0.364,13,11,1,4,1,0,0,5,0,2,3,0,0,0,0,0.462,0.455,0.917,3,NC,3,3,0,0.2,0.38,2.786
박건우,우익수,0.355,248,228,39,81,21,0,10,39,1,17,38,7,3,0,2,0.399,0.579,0.978,3,NC,50,4,0,-0.567,0.384,45.705999999999996
데이비슨,1루수,0.284,354,313,56,89,11,0,28,72,12,24,92,6,2,0,5,0.353,0.588,0.941,4,NC,50,0,1,-0.958,0.242,63.71400000000002
권희동,좌익수,0.265,43,34,3,9,3,1,0,7,0,6,4,1,1,0,3,0.349,0.412,0.761,4,NC,5,3,0,0.2,0.38,6.6480000000000015
도태훈,3루수,0.111,11,9,2,1,0,0,0,2,0,2,3,0,0,0,0,0.273,0.111,0.384,4,NC,1,0,0,0.147,0.2,0.43600000000000017
박건우,우익수,0.353,99,85,18,30,2,1,3,14,1,13,14,0,0,0,0,0.444,0.506,0.95,5,NC,24,4,0,-0.567,0.384,19.218
김휘집,유격수,0.3,25,20,5,6,1,0,4,7,0,3,7,2,0,0,2,0.36,0.95,1.31,5,NC,1,2,2,0.025,0.222,6.404
권희동,좌익수,0.276,160,134,18,37,3,0,3,20,3,23,25,2,0,0,0,0.394,0.366,0.76,5,NC,31,3,0,0.2,0.38,21.69
박한결,좌익수,0.235,18,17,2,4,0,0,2,5,0,1,6,1,0,0,0,0.278,0.588,0.866,5,NC,2,0,0,-0.346,0.091,2.6319999999999997
김성욱,중견수,0.087,25,23,1,2,0,0,0,1,1,0,4,0,0,0,1,0.12,0.087,0.207,5,NC,2,9,2,0.244,0.232,0.7679999999999998
