선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
박민우,2루수,0.331,363,311,54,103,19,2,5,31,8,40,56,3,4,3,1,0.419,0.453,0.872,1,NC,77,27,5,1.079,0.268,2루수,60.891999999999996
권희동,좌익수,0.298,141,114,20,34,7,0,2,13,4,21,19,3,0,2,0,0.424,0.412,0.836,2,NC,25,3,0,0.303,0.372,"우익수,중견수,좌익수,좌익수",21.077999999999996
서호철,3루수,0.244,95,82,12,20,2,1,1,6,5,5,19,2,0,1,2,0.319,0.329,0.648,2,NC,16,1,3,0.056,0.227,"2루수,3루수,3루수",8.847999999999999
박시원,좌익수,0.2,40,35,5,7,1,1,0,3,0,3,12,0,0,2,0,0.263,0.286,0.549,2,NC,5,1,0,0.143,0.316,"우익수,중견수,중견수",2.9239999999999995
권희동,좌익수,0.364,13,11,1,4,1,0,0,5,0,2,3,0,0,0,0,0.462,0.455,0.917,3,NC,3,3,0,0.303,0.372,"우익수,중견수,좌익수,좌익수",2.786
김성욱,중견수,0.333,11,9,2,3,0,1,1,5,1,1,5,0,0,0,0,0.455,0.889,1.344,3,NC,1,9,3,0.53,0.27,"우익수,중견수,좌익수,중견수",3.74
데이비슨,1루수,0.231,29,26,3,6,2,0,3,7,0,3,12,0,1,0,0,0.31,0.654,0.964,3,NC,1,0,1,-1.241,0.25,1루수,4.973999999999999
데이비슨,1루수,0.283,374,329,59,93,12,0,29,76,12,28,94,7,2,0,5,0.356,0.584,0.94,4,NC,52,0,1,-1.241,0.25,1루수,66.768
권희동,좌익수,0.264,66,53,7,14,4,1,2,12,1,8,7,1,1,0,4,0.348,0.491,0.839,4,NC,7,3,0,0.303,0.372,"우익수,중견수,좌익수,좌익수",11.354000000000005
도태훈,3루수,0.111,11,9,2,1,0,0,0,2,0,2,3,0,0,0,0,0.273,0.111,0.384,4,NC,1,0,0,0.137,0.161,"1루수,2루수,유격수,3루수,1루수",0.43600000000000017
김휘집,유격수,0.292,58,48,10,14,3,0,5,8,0,8,15,2,0,0,2,0.379,0.667,1.046,5,NC,6,2,2,0.368,0.194,"1루수,유격수,3루수,유격수",11.62
권희동,좌익수,0.27,170,141,19,38,4,0,3,24,4,24,26,2,0,0,1,0.388,0.362,0.75,5,NC,31,3,0,0.303,0.372,"우익수,중견수,좌익수,좌익수",22.912
