선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
박성한,유격수,0.286,36,28,5,8,2,0,0,5,0,6,3,0,0,0,2,0.389,0.357,0.746,1,SSG,6,10,2,1.273,0.291,6.555999999999999
최지훈,중견수,0.266,413,364,65,97,16,6,5,36,1,42,57,4,0,4,2,0.342,0.385,0.727,1,SSG,70,32,5,-0.335,0.242,53.674000000000014
박지환,유격수,0.235,37,34,5,8,0,0,0,0,0,2,11,1,0,1,0,0.278,0.235,0.513,1,SSG,8,7,3,-0.066,0.371,2.2219999999999995
에레디아,좌익수,0.333,12,9,2,3,0,0,1,4,0,3,0,1,1,0,0,0.5,0.667,1.167,2,SSG,2,4,3,-0.229,0.41,2.2199999999999998
최지훈,중견수,0.333,22,21,3,7,1,0,1,2,0,0,4,1,0,1,0,0.333,0.524,0.857,2,SSG,5,32,5,-0.335,0.242,7.1979999999999995
박성한,유격수,0.297,183,158,25,47,10,0,3,17,1,22,24,3,1,2,0,0.387,0.418,0.805,2,SSG,34,10,2,1.273,0.291,26.197999999999997
정준재,2루수,0.238,24,21,4,5,0,0,1,2,0,2,4,0,0,1,0,0.304,0.381,0.685,2,SSG,4,7,4,0.383,0.258,2.6679999999999997
오태곤,좌익수,0.235,20,17,2,4,1,0,0,0,0,2,6,0,0,1,0,0.316,0.294,0.61,2,SSG,3,17,2,0.78,0.208,4.142
김성현,2루수,0.083,14,12,2,1,0,0,0,0,1,1,4,0,0,0,0,0.214,0.083,0.297,2,SSG,1,2,0,-0.113,0.24,0.518
에레디아,좌익수,0.407,31,27,5,11,0,0,3,12,1,3,5,0,0,0,0,0.484,0.741,1.225,3,SSG,8,4,3,-0.229,0.41,7.960000000000001
박성한,유격수,0.313,18,16,6,5,1,0,0,2,0,2,2,0,0,0,0,0.389,0.375,0.764,3,SSG,4,10,2,1.273,0.291,3.5539999999999994
최정,3루수,0.288,385,320,63,92,18,1,24,73,17,43,75,8,1,0,5,0.395,0.575,0.97,3,SSG,49,5,1,-0.167,0.27,71.72000000000003
에레디아,좌익수,0.352,315,290,40,102,17,1,7,61,9,10,35,7,1,0,6,0.384,0.49,0.874,4,SSG,77,4,3,-0.229,0.41,50.420000000000016
하재훈,좌익수,0.267,30,30,3,8,1,0,1,3,0,0,9,0,0,0,0,0.267,0.4,0.667,4,SSG,6,7,0,-1.934,0.17,4.368
한유섬,우익수,0.232,107,99,12,23,7,0,4,15,2,6,36,0,0,0,0,0.29,0.424,0.714,4,SSG,12,0,1,-0.915,0.299,12.071999999999996
박성한,유격수,0.474,26,19,9,9,1,0,1,7,0,5,1,1,1,1,1,0.56,0.684,1.244,5,SSG,7,10,2,1.273,0.291,7.562
에레디아,좌익수,0.388,51,49,9,19,4,0,1,5,0,2,9,1,0,0,0,0.412,0.531,0.943,5,SSG,14,4,3,-0.229,0.41,8.617999999999999
이지영,포수,0.25,18,16,2,4,1,0,0,1,0,1,1,1,0,1,0,0.294,0.313,0.607,5,SSG,3,5,1,1.229,0.241,1.7219999999999995
하재훈,좌익수,0.231,30,26,3,6,3,0,0,5,1,2,10,1,0,0,1,0.3,0.346,0.646,5,SSG,3,7,0,-1.934,0.17,4.059999999999999
한유섬,우익수,0.228,219,193,27,44,9,0,12,41,5,20,62,1,3,0,1,0.315,0.461,0.776,5,SSG,23,0,1,-0.915,0.299,29.26400000000001
오태곤,좌익수,0.182,14,11,0,2,0,0,0,2,0,2,5,1,0,0,1,0.286,0.182,0.468,5,SSG,2,17,2,0.78,0.208,3.250000000000001
하재훈,좌익수,0.355,36,31,5,11,1,0,2,4,0,3,9,1,0,1,1,0.4,0.581,0.981,6,SSG,8,7,0,-1.934,0.17,8.047999999999998
이지영,포수,0.3,97,90,10,27,1,0,1,10,2,4,10,3,0,1,0,0.344,0.344,0.688,6,SSG,25,5,1,1.229,0.241,10.459999999999997
박성한,유격수,0.296,128,115,15,34,4,0,3,16,0,11,21,2,1,0,2,0.352,0.409,0.761,6,SSG,27,10,2,1.273,0.291,18.052000000000003
김민식,포수,0.15,24,20,0,3,0,0,0,1,0,3,8,0,0,1,0,0.261,0.15,0.411,6,SSG,3,0,0,-0.025,0.231,0.966
오태곤,좌익수,0.125,35,32,3,4,1,0,1,3,0,2,9,0,1,1,0,0.176,0.25,0.426,6,SSG,2,17,2,0.78,0.208,3.6180000000000008
오태곤,좌익수,0.362,51,47,10,17,5,0,1,5,0,4,8,0,1,0,0,0.412,0.532,0.944,7,SSG,11,17,2,0.78,0.208,11.465999999999998
김민식,포수,0.304,27,23,1,7,1,0,0,2,0,4,5,2,0,0,0,0.407,0.348,0.755,7,SSG,6,0,0,-0.025,0.231,2.8599999999999994
이지영,포수,0.295,47,44,8,13,2,1,1,8,0,2,5,1,0,0,1,0.319,0.455,0.774,7,SSG,9,5,1,1.229,0.241,6.85
박성한,유격수,0.259,27,27,1,7,1,0,0,2,0,0,7,1,0,0,0,0.259,0.296,0.555,7,SSG,6,10,2,1.273,0.291,2.654
김성현,2루수,0.25,14,12,3,3,1,0,0,2,0,2,1,1,0,0,0,0.357,0.333,0.69,7,SSG,2,2,0,-0.113,0.24,1.572
한유섬,우익수,0.25,19,16,4,4,1,0,1,2,0,3,3,0,0,0,0,0.368,0.5,0.868,7,SSG,2,0,1,-0.915,0.299,2.756
하재훈,좌익수,0.189,39,37,5,7,2,0,1,4,0,2,13,1,0,0,0,0.231,0.324,0.555,7,SSG,4,7,0,-1.934,0.17,3.645999999999999
오태곤,좌익수,0.5,13,10,1,5,0,0,0,1,0,3,2,0,0,0,0,0.615,0.5,1.115,8,SSG,5,17,2,0.78,0.208,5.474
박지환,유격수,0.4,11,10,2,4,1,0,0,0,0,1,2,0,0,0,0,0.455,0.5,0.955,8,SSG,3,7,3,-0.066,0.371,2.3039999999999994
정준재,2루수,0.333,22,21,3,7,1,0,0,0,0,1,4,1,0,0,0,0.364,0.381,0.745,8,SSG,6,7,4,0.383,0.258,2.3779999999999992
김성현,2루수,0.267,19,15,2,4,1,0,0,4,0,4,2,1,0,0,0,0.421,0.333,0.754,8,SSG,3,2,0,-0.113,0.24,2.5639999999999996
하재훈,좌익수,0.255,57,51,5,13,4,0,1,7,0,4,10,1,0,0,2,0.298,0.392,0.69,8,SSG,8,7,0,-1.934,0.17,7.81
이지영,포수,0.248,116,105,12,26,0,0,1,10,2,6,6,1,0,2,1,0.298,0.276,0.574,8,SSG,25,5,1,1.229,0.241,10.161999999999997
김민식,포수,0.239,53,46,7,11,4,0,1,7,0,6,10,0,0,1,0,0.327,0.391,0.718,8,SSG,6,0,0,-0.025,0.231,6.169999999999999
최지훈,중견수,0.357,15,14,1,5,0,1,0,0,0,1,2,0,0,0,0,0.4,0.5,0.9,9,SSG,4,32,5,-0.335,0.242,6.714000000000001
정준재,2루수,0.356,51,45,12,16,1,1,0,5,0,6,14,0,0,0,0,0.431,0.422,0.853,9,SSG,14,7,4,0.383,0.258,8.058000000000002
