선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
정수빈,중견수,0.27,341,289,60,78,10,3,3,23,6,38,41,6,1,4,4,0.362,0.356,0.718,1,두산,62,37,6,0.569,0.263,45.352
정수빈,중견수,0.333,37,30,5,10,2,0,0,5,0,3,3,0,0,2,2,0.371,0.4,0.771,2,두산,8,37,6,0.569,0.263,10.196
허경민,3루수,0.331,288,254,48,84,17,0,4,38,11,19,16,4,0,0,4,0.396,0.445,0.841,2,두산,63,3,0,0.397,0.324,44.812000000000005
전민재,2루수,0.276,30,29,3,8,0,0,0,3,1,0,7,0,0,0,0,0.3,0.276,0.576,2,두산,8,5,2,-0.014,0.35,2.654000000000001
이유찬,2루수,0.25,30,28,3,7,0,0,0,1,0,2,8,1,0,0,0,0.3,0.25,0.55,2,두산,7,10,4,0.262,0.229,2.3759999999999994
조수행,좌익수,0.133,19,15,4,2,0,0,0,1,0,1,2,0,0,2,1,0.176,0.133,0.309,2,두산,2,45,6,0.466,0.19,6.784
허경민,3루수,0.4,18,15,4,6,1,0,1,3,0,3,0,2,0,0,0,0.5,0.667,1.167,3,두산,4,3,0,0.397,0.324,4.17
양의지,포수,0.314,208,188,24,59,8,0,6,44,3,13,22,5,0,0,4,0.361,0.452,0.813,3,두산,45,2,0,0.493,0.423,30.543999999999993
강승호,2루수,0.267,125,120,14,32,8,3,2,18,1,2,39,0,0,1,1,0.282,0.433,0.715,3,두산,19,13,5,0.876,0.269,15.197999999999995
양의지,포수,0.364,143,129,17,47,4,0,6,29,3,9,12,4,2,0,2,0.413,0.535,0.948,4,두산,37,2,0,0.493,0.423,26.064
강승호,2루수,0.288,68,59,9,17,2,0,2,8,0,8,20,0,3,0,1,0.368,0.424,0.792,5,두산,13,13,5,0.876,0.269,10.44
양석환,1루수,0.217,296,263,43,57,12,0,14,51,2,29,59,12,0,0,2,0.297,0.422,0.719,5,두산,31,5,3,-0.577,0.3,32.068000000000005
양석환,1루수,0.368,94,87,13,32,5,1,8,21,1,6,23,1,1,0,0,0.415,0.724,1.139,6,두산,18,5,3,-0.577,0.3,21.885999999999996
강승호,2루수,0.336,136,125,24,42,10,3,8,23,1,9,35,3,0,0,1,0.382,0.656,1.038,6,두산,21,13,5,0.876,0.269,27.99
김기연,포수,0.15,25,20,4,3,0,0,1,2,1,3,3,0,0,0,1,0.28,0.3,0.58,6,두산,2,0,2,0.563,0.278,1.9759999999999995
박준영,유격수,0.083,13,12,2,1,0,0,0,1,0,0,4,1,0,0,1,0.077,0.083,0.16,6,두산,1,2,0,1.022,0.2,-0.16200000000000003
허경민,3루수,0.435,26,23,3,10,2,0,1,6,1,1,2,0,0,0,1,0.462,0.652,1.114,7,두산,7,3,0,0.397,0.324,6.783999999999999
김기연,포수,0.296,59,54,7,16,5,0,1,6,1,4,11,1,0,0,0,0.356,0.444,0.8,7,두산,10,0,2,0.563,0.278,7.221999999999998
전민재,2루수,0.246,64,57,11,14,1,0,1,9,1,3,13,3,0,2,1,0.29,0.316,0.606,7,두산,12,5,2,-0.014,0.35,5.146
강승호,2루수,0.22,65,59,7,13,4,0,1,5,2,4,16,0,0,0,0,0.292,0.339,0.631,7,두산,8,13,5,0.876,0.269,6.832000000000001
박준영,유격수,0.119,66,59,3,7,1,0,1,7,1,6,17,1,0,0,0,0.212,0.186,0.398,7,두산,5,2,0,1.022,0.2,2.2140000000000013
박준영,유격수,0.358,61,53,9,19,6,1,2,8,0,7,16,0,0,1,0,0.433,0.623,1.056,8,두산,10,2,0,1.022,0.2,12.831999999999999
이유찬,2루수,0.358,63,53,9,19,3,0,1,6,1,8,7,3,0,1,0,0.452,0.472,0.924,8,두산,15,10,4,0.262,0.229,10.494000000000002
전민재,2루수,0.341,51,44,7,15,3,0,1,7,0,6,10,1,1,0,1,0.412,0.477,0.889,8,두산,11,5,2,-0.014,0.35,8.620000000000001
김기연,포수,0.27,71,63,9,17,0,0,2,8,0,6,9,2,0,1,1,0.329,0.365,0.694,8,두산,15,0,2,0.563,0.278,7.237999999999998
조수행,좌익수,0.222,12,9,2,2,0,0,0,0,1,2,2,0,1,0,0,0.417,0.222,0.639,8,두산,2,45,6,0.466,0.19,7.4639999999999995
전민재,2루수,0.286,21,21,0,6,1,0,0,4,0,0,4,0,0,0,0,0.286,0.333,0.619,9,두산,5,5,2,-0.014,0.35,2.0979999999999994
조수행,좌익수,0.28,206,182,29,51,1,2,0,15,0,17,25,2,0,5,2,0.338,0.308,0.646,9,두산,48,45,6,0.466,0.19,26.97
박준영,유격수,0.263,45,38,9,10,1,1,2,8,1,6,11,0,0,0,0,0.378,0.5,0.878,9,두산,6,2,0,1.022,0.2,7.771999999999999
정수빈,중견수,0.235,18,17,2,4,0,0,0,2,0,1,2,1,0,0,0,0.278,0.235,0.513,9,두산,4,37,6,0.569,0.263,5.524
이유찬,2루수,0.111,20,18,1,2,0,0,0,0,0,2,7,0,0,0,0,0.2,0.111,0.311,9,두산,2,10,4,0.262,0.229,0.7040000000000001
