선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
이유찬,2루수,0.273,24,22,6,6,1,0,2,3,0,2,5,0,0,0,0,0.333,0.591,0.924,1,두산,3,12,5,0.313,0.233,"2루수,우익수,2루수,중견수,3루수,유격수,좌익수",4.859999999999999
정수빈,중견수,0.27,369,315,60,85,12,3,3,23,6,40,43,6,1,4,4,0.359,0.356,0.715,1,두산,67,38,8,0.388,0.236,중견수,47.785999999999994
허경민,3루수,0.325,311,274,50,89,19,0,4,41,12,21,18,4,0,0,4,0.392,0.438,0.83,2,두산,66,5,0,0.248,0.318,3루수,47.766
정수빈,중견수,0.294,42,34,5,10,2,0,0,5,0,3,4,0,0,3,2,0.333,0.353,0.686,2,두산,8,38,8,0.388,0.236,중견수,9.407999999999998
이유찬,2루수,0.257,39,35,4,9,1,0,0,2,0,4,9,2,0,0,0,0.333,0.286,0.619,2,두산,8,12,5,0.313,0.233,"2루수,우익수,2루수,중견수,3루수,유격수,좌익수",3.4880000000000004
전민재,2루수,0.25,33,32,3,8,0,0,0,3,1,0,9,0,0,0,0,0.273,0.25,0.523,2,두산,8,5,2,0.13,0.314,"유격수,1루수,유격수,2루수,3루수",2.3680000000000008
조수행,좌익수,0.133,19,15,4,2,0,0,0,1,0,1,2,0,0,2,1,0.176,0.133,0.309,2,두산,2,51,6,0.468,0.206,"우익수,중견수,좌익수,좌익수",7.864
양의지,포수,0.328,212,192,24,63,9,0,6,44,3,13,22,5,0,0,4,0.373,0.469,0.842,3,두산,48,2,0,0.327,0.423,포수,32.764
강승호,2루수,0.278,131,126,17,35,8,3,3,19,1,2,41,0,0,1,1,0.292,0.46,0.752,3,두산,21,13,5,1.123,0.27,"2루수,1루수,2루수",17.351999999999997
허경민,3루수,0.259,31,27,4,7,1,0,1,3,0,4,1,2,0,0,0,0.355,0.407,0.762,3,두산,5,5,0,0.248,0.318,3루수,4.372
양의지,포수,0.35,155,140,18,49,4,0,7,30,3,10,13,4,2,0,2,0.4,0.529,0.929,4,두산,38,2,0,0.327,0.423,포수,27.526
김재환,좌익수,0.246,267,228,32,56,12,0,13,46,1,31,87,5,3,0,7,0.33,0.469,0.799,4,두산,31,1,1,-0.526,0.235,",좌익수",37.89399999999999
