선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
김태연,1루수,0.353,80,68,12,24,2,0,5,17,0,10,17,0,0,0,2,0.425,0.603,1.028,1,한화,17,3,2,-0.649,0.281,17.083999999999996
황영묵,유격수,0.322,65,59,8,19,2,1,1,10,0,4,9,0,0,2,0,0.365,0.441,0.806,1,한화,15,3,6,0.07,0.328,7.808
문현빈,2루수,0.289,42,38,7,11,2,0,1,10,0,3,6,4,0,0,1,0.333,0.421,0.754,1,한화,8,2,4,-0.441,0.263,3.391999999999998
이원석,중견수,0.264,82,72,7,19,2,1,0,5,0,9,12,2,0,0,1,0.341,0.319,0.66,1,한화,16,4,1,0.371,0.261,8.704
황영묵,유격수,0.348,50,46,9,16,0,0,0,7,1,3,8,0,0,0,0,0.4,0.348,0.748,2,한화,16,3,6,0.07,0.328,5.215999999999998
페라자,우익수,0.325,195,166,34,54,13,0,12,33,1,26,47,3,2,0,2,0.415,0.62,1.035,2,한화,29,7,5,-0.187,0.348,38.974
장진혁,중견수,0.23,71,61,10,14,3,0,1,8,1,7,21,0,0,1,1,0.314,0.328,0.642,2,한화,10,8,4,0.021,0.286,7.492000000000001
하주석,유격수,0.2,13,10,0,2,1,0,0,1,1,1,3,0,0,1,0,0.333,0.3,0.633,2,한화,1,1,2,-0.079,0.231,0.736
김태연,1루수,0.2,25,25,3,5,0,0,1,1,0,0,3,1,0,0,0,0.2,0.32,0.52,2,한화,4,3,2,-0.649,0.281,1.146
김태연,1루수,0.323,34,31,3,10,2,0,2,6,0,3,6,0,0,0,0,0.382,0.581,0.963,3,한화,6,3,2,-0.649,0.281,6.301999999999999
노시환,3루수,0.303,98,89,20,27,3,0,5,13,0,9,19,4,1,0,0,0.367,0.506,0.873,3,한화,19,5,0,-0.143,0.29,15.517999999999997
페라자,우익수,0.256,138,125,21,32,8,0,5,20,0,13,32,1,2,0,0,0.326,0.44,0.766,3,한화,19,7,5,-0.187,0.348,17.364000000000004
채은성,1루수,0.149,52,47,4,7,3,0,0,7,1,3,10,1,0,0,1,0.212,0.213,0.425,3,한화,4,1,1,-0.391,0.26,1.7000000000000002
노시환,3루수,0.255,289,259,37,66,10,1,13,47,6,24,65,1,6,0,0,0.332,0.452,0.784,4,한화,42,5,0,-0.143,0.29,40.25999999999999
채은성,1루수,0.167,26,24,3,4,0,0,1,1,0,2,4,0,0,0,0,0.231,0.292,0.523,4,한화,3,1,1,-0.391,0.26,1.6480000000000006
김태연,1루수,0.333,52,42,5,14,2,0,1,8,2,7,4,1,0,1,0,0.451,0.452,0.903,5,한화,11,3,2,-0.649,0.281,8.458
채은성,1루수,0.288,151,132,15,38,10,0,5,28,2,16,33,5,1,0,1,0.371,0.477,0.848,5,한화,23,1,1,-0.391,0.26,21.585999999999995
최재훈,포수,0.091,13,11,0,1,1,0,0,0,2,0,3,1,0,0,0,0.231,0.182,0.413,5,한화,0,0,0,0.419,0.235,0.10599999999999987
황영묵,유격수,0.35,21,20,1,7,0,1,0,2,1,0,4,1,0,0,0,0.381,0.45,0.831,6,한화,6,3,6,0.07,0.328,1.428
채은성,1루수,0.268,75,71,9,19,2,0,3,13,1,3,8,1,0,0,0,0.307,0.423,0.73,6,한화,14,1,1,-0.391,0.26,8.866
이도윤,유격수,0.239,50,46,6,11,1,0,0,3,1,3,8,1,0,0,0,0.3,0.261,0.561,6,한화,10,6,3,0.363,0.343,3.6160000000000005
하주석,유격수,0.231,13,13,0,3,0,0,0,0,0,0,5,0,0,0,0,0.231,0.231,0.462,6,한화,3,1,2,-0.079,0.231,0.10000000000000009
김태연,1루수,0.23,72,61,8,14,9,0,1,9,1,8,18,1,0,2,0,0.329,0.426,0.755,6,한화,4,3,2,-0.649,0.281,8.216000000000001
문현빈,2루수,0.156,49,45,4,7,1,1,0,4,0,3,12,0,0,1,0,0.208,0.222,0.43,6,한화,5,2,4,-0.441,0.263,0.8839999999999995
최재훈,포수,0.059,26,17,2,1,0,0,0,2,1,4,5,0,0,2,2,0.25,0.059,0.309,6,한화,1,0,0,0.419,0.235,1.5400000000000003
김태연,1루수,0.429,31,28,7,12,2,0,1,5,0,3,4,1,0,0,0,0.484,0.607,1.091,7,한화,9,3,2,-0.649,0.281,6.457999999999997
이재원,포수,0.424,35,33,2,14,1,0,0,6,0,1,3,1,0,0,1,0.429,0.455,0.884,7,한화,13,0,0,0.249,0.364,5.825999999999999
하주석,유격수,0.4,23,20,1,8,1,0,0,1,0,3,4,0,0,0,0,0.478,0.45,0.928,7,한화,7,1,2,-0.079,0.231,3.6680000000000006
최재훈,포수,0.37,59,46,9,17,5,0,0,7,6,7,7,1,0,0,0,0.508,0.478,0.986,7,한화,12,0,0,0.419,0.235,10.984
문현빈,2루수,0.333,46,39,7,13,3,0,2,5,0,7,9,0,0,0,0,0.435,0.564,0.999,7,한화,8,2,4,-0.441,0.263,8.088000000000001
황영묵,유격수,0.229,50,48,4,11,2,0,2,4,1,1,5,1,0,0,0,0.26,0.396,0.656,7,한화,7,3,6,0.07,0.328,3.379999999999999
이도윤,유격수,0.211,22,19,2,4,0,0,0,2,0,3,3,1,0,0,0,0.318,0.211,0.529,7,한화,4,6,3,0.363,0.343,1.3959999999999995
황영묵,유격수,0.394,35,33,8,13,2,0,0,3,0,2,3,2,0,0,0,0.429,0.455,0.884,8,한화,11,3,6,0.07,0.328,3.676
이도윤,유격수,0.305,94,82,12,25,1,1,0,12,0,8,13,0,0,3,1,0.363,0.341,0.704,8,한화,23,6,3,0.363,0.343,11.355999999999998
최재훈,포수,0.26,67,50,9,13,2,0,1,5,4,9,9,2,0,2,2,0.4,0.36,0.76,8,한화,10,0,0,0.419,0.235,8.978
장진혁,중견수,0.214,16,14,3,3,0,0,0,0,0,1,3,0,0,1,0,0.267,0.214,0.481,8,한화,3,8,4,0.021,0.286,1.026
문현빈,2루수,0.208,26,24,1,5,1,0,1,2,1,1,8,1,0,0,0,0.269,0.375,0.644,8,한화,3,2,4,-0.441,0.263,1.2759999999999998
이재원,포수,0.156,38,32,1,5,0,0,0,1,2,3,5,1,0,1,0,0.27,0.156,0.426,8,한화,5,0,0,0.249,0.364,1.4000000000000004
하주석,유격수,0.105,23,19,2,2,1,0,0,0,0,3,8,0,0,1,0,0.227,0.158,0.385,8,한화,1,1,2,-0.079,0.231,0.22600000000000028
최재훈,포수,0.309,66,55,6,17,1,0,0,5,4,6,10,3,0,1,0,0.415,0.327,0.742,9,한화,16,0,0,0.419,0.235,7.550000000000002
이도윤,유격수,0.257,78,70,8,18,2,1,0,11,1,6,10,2,0,0,1,0.321,0.314,0.635,9,한화,15,6,3,0.363,0.343,7.3500000000000005
이원석,중견수,0.25,14,12,1,3,0,0,0,2,0,1,7,0,0,1,0,0.308,0.25,0.558,9,한화,3,4,1,0.371,0.261,1.4140000000000001
장진혁,중견수,0.2,45,40,9,8,2,0,1,9,1,4,12,1,0,0,0,0.289,0.325,0.614,9,한화,5,8,4,0.021,0.286,3.8939999999999992
황영묵,유격수,0.167,14,12,0,2,0,0,0,1,0,2,0,0,0,0,0,0.286,0.167,0.453,9,한화,2,3,6,0.07,0.328,-0.5999999999999996
문현빈,2루수,0.067,15,15,0,1,0,0,0,0,0,0,4,1,0,0,0,0.067,0.067,0.134,9,한화,1,2,4,-0.441,0.263,-2.082
