선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
김태연,1루수,0.353,80,68,12,24,2,0,5,17,0,10,17,0,0,0,2,0.425,0.603,1.028,1,한화,17,3,2,-0.65,0.281,17.083999999999996
황영묵,유격수,0.322,65,59,8,19,2,1,1,10,0,4,9,0,0,2,0,0.365,0.441,0.806,1,한화,15,3,6,0.11,0.319,7.808
문현빈,2루수,0.289,42,38,7,11,2,0,1,10,0,3,6,4,0,0,1,0.333,0.421,0.754,1,한화,8,2,4,-0.449,0.259,3.391999999999998
이원석,중견수,0.264,82,72,7,19,2,1,0,5,0,9,12,2,0,0,1,0.341,0.319,0.66,1,한화,16,4,1,0.374,0.25,8.704
황영묵,유격수,0.348,50,46,9,16,0,0,0,7,1,3,8,0,0,0,0,0.4,0.348,0.748,2,한화,16,3,6,0.11,0.319,5.215999999999998
페라자,우익수,0.325,195,166,34,54,13,0,12,33,1,26,47,3,2,0,2,0.415,0.62,1.035,2,한화,29,7,5,-0.187,0.366,38.974
장진혁,중견수,0.23,71,61,10,14,3,0,1,8,1,7,21,0,0,1,1,0.314,0.328,0.642,2,한화,10,9,4,0.01,0.256,7.672000000000001
김태연,1루수,0.2,25,25,3,5,0,0,1,1,0,0,3,1,0,0,0,0.2,0.32,0.52,2,한화,4,3,2,-0.65,0.281,1.146
하주석,유격수,0.2,13,10,0,2,1,0,0,1,1,1,3,0,0,1,0,0.333,0.3,0.633,2,한화,1,1,2,-0.079,0.231,0.736
김태연,1루수,0.342,42,38,5,13,2,0,2,6,0,4,7,0,0,0,0,0.405,0.553,0.958,3,한화,9,3,2,-0.65,0.281,7.773999999999999
노시환,3루수,0.303,98,89,20,27,3,0,5,13,0,9,19,4,1,0,0,0.367,0.506,0.873,3,한화,19,5,0,-0.274,0.295,15.517999999999997
페라자,우익수,0.256,138,125,21,32,8,0,5,20,0,13,32,1,2,0,0,0.326,0.44,0.766,3,한화,19,7,5,-0.187,0.366,17.364000000000004
채은성,1루수,0.149,52,47,4,7,3,0,0,7,1,3,10,1,0,0,1,0.212,0.213,0.425,3,한화,4,1,1,-0.463,0.276,1.7000000000000002
노시환,3루수,0.259,297,266,38,69,10,1,13,48,6,25,65,1,6,0,0,0.337,0.451,0.788,4,한화,45,5,0,-0.274,0.295,41.739999999999995
채은성,1루수,0.167,26,24,3,4,0,0,1,1,0,2,4,0,0,0,0,0.231,0.292,0.523,4,한화,3,1,1,-0.463,0.276,1.6480000000000006
김태연,1루수,0.333,52,42,5,14,2,0,1,8,2,7,4,1,0,1,0,0.451,0.452,0.903,5,한화,11,3,2,-0.65,0.281,8.458
채은성,1루수,0.29,159,138,15,40,10,0,5,29,2,18,33,5,1,0,1,0.377,0.471,0.848,5,한화,25,1,1,-0.463,0.276,22.905999999999995
최재훈,포수,0.091,13,11,0,1,1,0,0,0,2,0,3,1,0,0,0,0.231,0.182,0.413,5,한화,0,0,0,0.49,0.231,0.10599999999999987
황영묵,유격수,0.35,21,20,1,7,0,1,0,2,1,0,4,1,0,0,0,0.381,0.45,0.831,6,한화,6,3,6,0.11,0.319,1.428
채은성,1루수,0.268,75,71,9,19,2,0,3,13,1,3,8,1,0,0,0,0.307,0.423,0.73,6,한화,14,1,1,-0.463,0.276,8.866
이도윤,유격수,0.239,50,46,6,11,1,0,0,3,1,3,8,1,0,0,0,0.3,0.261,0.561,6,한화,10,6,3,0.316,0.338,3.6160000000000005
하주석,유격수,0.231,13,13,0,3,0,0,0,0,0,0,5,0,0,0,0,0.231,0.231,0.462,6,한화,3,1,2,-0.079,0.231,0.10000000000000009
