선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
김태연,1루수,0.353,80,68,12,24,2,0,5,17,0,10,17,0,0,0,2,0.425,0.603,1.028,1,한화,17,3,2,-0.211,0.29,1루수,17.083999999999996
김태연,1루수,0.353,80,68,12,24,2,0,5,17,0,10,17,0,0,0,2,0.425,0.603,1.028,1,한화,17,3,2,-0.557,0.29,1루수,17.083999999999996
김태연,1루수,0.353,80,68,12,24,2,0,5,17,0,10,17,0,0,0,2,0.425,0.603,1.028,1,한화,17,3,2,-0.631,0.29,1루수,17.083999999999996
황영묵,유격수,0.322,65,59,8,19,2,1,1,10,0,4,9,0,0,2,0,0.365,0.441,0.806,1,한화,15,3,6,0.193,0.324,2루수,7.808
황영묵,유격수,0.322,65,59,8,19,2,1,1,10,0,4,9,0,0,2,0,0.365,0.441,0.806,1,한화,15,3,6,-0.071,0.324,2루수,7.808
황영묵,유격수,0.322,65,59,8,19,2,1,1,10,0,4,9,0,0,2,0,0.365,0.441,0.806,1,한화,15,3,6,0.0,0.324,2루수,7.808
문현빈,2루수,0.282,43,39,7,11,2,0,1,10,0,3,6,4,0,0,1,0.326,0.41,0.736,1,한화,8,2,4,0.058,0.25,2루수,3.3019999999999983
문현빈,2루수,0.282,43,39,7,11,2,0,1,10,0,3,6,4,0,0,1,0.326,0.41,0.736,1,한화,8,2,4,-0.003,0.25,2루수,3.3019999999999983
문현빈,2루수,0.282,43,39,7,11,2,0,1,10,0,3,6,4,0,0,1,0.326,0.41,0.736,1,한화,8,2,4,-0.359,0.25,2루수,3.3019999999999983
페라자,우익수,0.27,41,37,5,10,1,0,1,4,0,4,11,0,0,0,0,0.341,0.378,0.719,1,한화,8,7,5,0.052,0.338,우익수,4.662000000000002
페라자,우익수,0.27,41,37,5,10,1,0,1,4,0,4,11,0,0,0,0,0.341,0.378,0.719,1,한화,8,7,5,-0.111,0.338,우익수,4.662000000000002
페라자,우익수,0.27,41,37,5,10,1,0,1,4,0,4,11,0,0,0,0,0.341,0.378,0.719,1,한화,8,7,5,-0.357,0.338,우익수,4.662000000000002
이원석,중견수,0.264,82,72,7,19,2,1,0,5,0,9,12,2,0,0,1,0.341,0.319,0.66,1,한화,16,5,1,0.398,0.269,중견수,8.884
이원석,중견수,0.264,82,72,7,19,2,1,0,5,0,9,12,2,0,0,1,0.341,0.319,0.66,1,한화,16,5,1,0.074,0.269,중견수,8.884
이원석,중견수,0.264,82,72,7,19,2,1,0,5,0,9,12,2,0,0,1,0.341,0.319,0.66,1,한화,16,5,1,-0.145,0.269,중견수,8.884
황영묵,유격수,0.348,50,46,9,16,0,0,0,7,1,3,8,0,0,0,0,0.4,0.348,0.748,2,한화,16,3,6,0.193,0.324,2루수,5.215999999999998
황영묵,유격수,0.348,50,46,9,16,0,0,0,7,1,3,8,0,0,0,0,0.4,0.348,0.748,2,한화,16,3,6,-0.071,0.324,2루수,5.215999999999998
황영묵,유격수,0.348,50,46,9,16,0,0,0,7,1,3,8,0,0,0,0,0.4,0.348,0.748,2,한화,16,3,6,0.0,0.324,2루수,5.215999999999998
페라자,우익수,0.325,195,166,34,54,13,0,12,33,1,26,47,3,2,0,2,0.415,0.62,1.035,2,한화,29,7,5,0.052,0.338,우익수,38.974
페라자,우익수,0.325,195,166,34,54,13,0,12,33,1,26,47,3,2,0,2,0.415,0.62,1.035,2,한화,29,7,5,-0.111,0.338,우익수,38.974
페라자,우익수,0.325,195,166,34,54,13,0,12,33,1,26,47,3,2,0,2,0.415,0.62,1.035,2,한화,29,7,5,-0.357,0.338,우익수,38.974
김인환,1루수,0.303,34,33,5,10,0,0,0,2,1,0,6,1,0,0,0,0.324,0.303,0.627,2,한화,10,0,0,-0.089,0.4,좌익수,2.8519999999999994
김인환,1루수,0.303,34,33,5,10,0,0,0,2,1,0,6,1,0,0,0,0.324,0.303,0.627,2,한화,10,0,0,-0.36,0.4,좌익수,2.8519999999999994
장진혁,중견수,0.23,71,61,10,14,3,0,1,8,1,7,21,0,0,1,1,0.314,0.328,0.642,2,한화,10,10,4,0.178,0.255,중견수,7.852000000000002
장진혁,중견수,0.23,71,61,10,14,3,0,1,8,1,7,21,0,0,1,1,0.314,0.328,0.642,2,한화,10,10,4,0.035,0.255,중견수,7.852000000000002
장진혁,중견수,0.23,71,61,10,14,3,0,1,8,1,7,21,0,0,1,1,0.314,0.328,0.642,2,한화,10,10,4,-0.072,0.255,중견수,7.852000000000002
김태연,1루수,0.2,25,25,3,5,0,0,1,1,0,0,3,1,0,0,0,0.2,0.32,0.52,2,한화,4,3,2,-0.211,0.29,1루수,1.146
