선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
송성문,3루수,0.444,32,27,6,12,1,1,0,6,0,4,2,0,0,0,1,0.5,0.556,1.056,1,키움,10,8,0,0.914,0.38,8.563999999999998
이주형,중견수,0.312,197,170,39,53,7,2,5,20,5,21,36,3,0,0,1,0.401,0.465,0.866,1,키움,39,0,0,0.058,0.273,31.102
이용규,좌익수,0.304,112,92,12,28,3,0,1,5,3,14,18,1,0,2,1,0.409,0.37,0.779,1,키움,24,2,1,0.014,0.179,15.595999999999998
김혜성,2루수,0.214,14,14,2,3,1,0,1,1,0,0,4,0,0,0,0,0.214,0.5,0.714,1,키움,1,20,4,0.915,0.41,3.9579999999999997
고영우,3루수,0.115,28,26,3,3,0,0,0,2,0,2,11,0,0,0,0,0.179,0.115,0.294,1,키움,3,0,0,-0.611,0.357,0.02200000000000002
도슨,중견수,0.345,391,351,68,121,31,2,11,51,6,33,49,9,0,0,1,0.409,0.538,0.947,2,키움,77,2,2,0.164,0.333,67.668
송성문,3루수,0.222,19,18,1,4,0,0,1,1,0,1,4,0,0,0,0,0.263,0.389,0.652,2,키움,3,8,0,0.914,0.38,3.428
송성문,3루수,0.357,49,42,6,15,3,0,1,8,1,6,6,2,0,0,0,0.449,0.5,0.949,3,키움,11,8,0,0.914,0.38,9.702
김혜성,2루수,0.343,335,297,55,102,19,3,9,50,4,31,23,6,1,0,3,0.409,0.519,0.928,3,키움,71,20,4,0.915,0.41,60.54599999999999
송성문,3루수,0.394,148,127,21,50,6,2,4,30,0,19,13,0,1,0,2,0.466,0.567,1.033,4,키움,38,8,0,0.914,0.38,32.675999999999995
김혜성,2루수,0.273,12,11,0,3,0,0,0,3,0,0,5,0,0,0,1,0.25,0.273,0.523,4,키움,3,20,4,0.915,0.41,3.4299999999999997
이주형,중견수,0.225,89,80,11,18,2,0,3,14,1,8,28,0,1,0,0,0.303,0.363,0.666,4,키움,13,0,0,0.058,0.273,9.426
최주환,1루수,0.206,140,126,14,26,4,0,4,17,2,11,27,5,1,0,1,0.279,0.333,0.612,4,키움,18,0,1,-0.257,0.237,10.953999999999997
최주환,1루수,0.275,151,138,11,38,8,0,2,24,1,8,22,4,0,0,4,0.311,0.377,0.688,5,키움,28,0,1,-0.257,0.237,16.203999999999997
고영우,3루수,0.265,39,34,1,9,1,0,0,8,0,3,4,0,0,0,2,0.308,0.294,0.602,5,키움,8,0,0,-0.611,0.357,4.198
