¼±¼ö¸í,Æ÷Áö¼Ç_x,Å¸À²,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,»ç±¸,º¼³Ý,»ïÁø,º´»ìÅ¸,°íÀÇ4±¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,Ãâ·çÀ²,ÀåÅ¸À²,OPS,Å¸¼ø,ÆÀ¸í,1·çÅ¸,µµ·çÇã¿ë,µµ·çÀúÁö,¼öºñ ½Â¸® ±â¿©µµ,µæÁ¡±ÇÅ¸À²,Æ÷Áö¼Ç_y,ÃßÁ¤µæÁ¡
È²¼ººó,ÁÂÀÍ¼ö,0.28,189,168,38,47,3,2,1,7,2,15,27,2,0,3,1,0.344,0.339,0.683,1,·Ôµ¥,41,39,5,0.433,0.262,Áß°ß¼ö,26.024000000000004
È²¼ººó,ÁÂÀÍ¼ö,0.28,189,168,38,47,3,2,1,7,2,15,27,2,0,3,1,0.344,0.339,0.683,1,·Ôµ¥,41,39,5,0.036,0.262,Áß°ß¼ö,26.024000000000004
È²¼ººó,ÁÂÀÍ¼ö,0.28,189,168,38,47,3,2,1,7,2,15,27,2,0,3,1,0.344,0.339,0.683,1,·Ôµ¥,41,39,5,-0.571,0.262,Áß°ß¼ö,26.024000000000004
À±µ¿Èñ,Áß°ß¼ö,0.276,239,210,43,58,16,1,4,26,0,25,41,4,0,0,4,0.347,0.419,0.766,1,·Ôµ¥,37,5,4,-0.041,0.33,Áß°ß¼ö,30.931999999999995
À±µ¿Èñ,Áß°ß¼ö,0.276,239,210,43,58,16,1,4,26,0,25,41,4,0,0,4,0.347,0.419,0.766,1,·Ôµ¥,37,5,4,-0.476,0.33,Áß°ß¼ö,30.931999999999995
±è¹Î¼®,Áß°ß¼ö,0.067,20,15,1,1,0,0,0,0,3,1,3,0,0,1,0,0.263,0.067,0.33,1,·Ôµ¥,1,2,1,-0.003,0.286,ÁÂÀÍ¼ö,0.6560000000000001
±è¹Î¼®,Áß°ß¼ö,0.067,20,15,1,1,0,0,0,0,3,1,3,0,0,1,0,0.263,0.067,0.33,1,·Ôµ¥,1,2,1,-0.071,0.286,ÁÂÀÍ¼ö,0.6560000000000001
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,39,5,0.433,0.262,Áß°ß¼ö,15.825999999999997
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,39,5,0.036,0.262,Áß°ß¼ö,15.825999999999997
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,39,5,-0.571,0.262,Áß°ß¼ö,15.825999999999997
À±µ¿Èñ,Áß°ß¼ö,0.345,132,113,22,39,6,2,1,20,2,14,23,1,0,2,1,0.423,0.46,0.883,2,·Ôµ¥,30,5,4,-0.041,0.33,Áß°ß¼ö,21.135999999999996
À±µ¿Èñ,Áß°ß¼ö,0.345,132,113,22,39,6,2,1,20,2,14,23,1,0,2,1,0.423,0.46,0.883,2,·Ôµ¥,30,5,4,-0.476,0.33,Áß°ß¼ö,21.135999999999996
³ª½Â¿±,1·ç¼ö,0.3,11,10,1,3,0,0,0,1,0,1,2,0,0,0,0,0.364,0.3,0.664,2,·Ôµ¥,3,0,0,-1.356,0.326,1·ç¼ö,1.1940000000000002
°í½Â¹Î,2·ç¼ö,0.29,191,176,34,51,13,1,5,24,1,14,30,3,0,0,0,0.346,0.46,0.806,2,·Ôµ¥,32,4,2,0.165,0.372,2·ç¼ö,26.179999999999996
°í½Â¹Î,2·ç¼ö,0.29,191,176,34,51,13,1,5,24,1,14,30,3,0,0,0,0.346,0.46,0.806,2,·Ôµ¥,32,4,2,0.029,0.372,2·ç¼ö,26.179999999999996
°í½Â¹Î,2·ç¼ö,0.29,191,176,34,51,13,1,5,24,1,14,30,3,0,0,0,0.346,0.46,0.806,2,·Ôµ¥,32,4,2,0.014,0.372,2·ç¼ö,26.179999999999996
°í½Â¹Î,2·ç¼ö,0.29,191,176,34,51,13,1,5,24,1,14,30,3,0,0,0,0.346,0.46,0.806,2,·Ôµ¥,32,4,2,-0.052,0.372,2·ç¼ö,26.179999999999996
±è¹Î¼®,Áß°ß¼ö,0.235,17,17,3,4,0,1,0,2,0,0,4,2,0,0,0,0.235,0.353,0.588,2,·Ôµ¥,3,2,1,-0.003,0.286,ÁÂÀÍ¼ö,0.6380000000000001
±è¹Î¼®,Áß°ß¼ö,0.235,17,17,3,4,0,1,0,2,0,0,4,2,0,0,0,0.235,0.353,0.588,2,·Ôµ¥,3,2,1,-0.071,0.286,ÁÂÀÍ¼ö,0.6380000000000001
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.001,0.282,1·ç¼ö,6.188
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.009,0.282,1·ç¼ö,6.188
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.07,0.282,1·ç¼ö,6.188
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.323,0.282,1·ç¼ö,6.188
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.335,176,158,24,53,9,1,5,29,1,14,24,5,0,0,3,0.386,0.5,0.886,3,·Ôµ¥,38,4,0,0.021,0.414,¿ìÀÍ¼ö,29.157999999999998
