¼±¼ö¸í,Æ÷Áö¼Ç,Å¸À²,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,»ç±¸,º¼³Ý,»ïÁø,º´»ìÅ¸,°íÀÇ4±¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,Ãâ·çÀ²,ÀåÅ¸À²,OPS,Å¸¼ø,ÆÀ¸í,1·çÅ¸,µµ·çÇã¿ë,µµ·çÀúÁö,¼öºñ ½Â¸® ±â¿©µµ,µæÁ¡±ÇÅ¸À²,ÃßÁ¤µæÁ¡
È²¼ººó,ÁÂÀÍ¼ö,0.28,189,168,38,47,3,2,1,7,2,15,27,2,0,3,1,0.344,0.339,0.683,1,·Ôµ¥,41,39,5,-0.571,0.262,26.024000000000004
À±µ¿Èñ,Áß°ß¼ö,0.276,239,210,43,58,16,1,4,26,0,25,41,4,0,0,4,0.347,0.419,0.766,1,·Ôµ¥,37,5,4,-0.041,0.33,30.931999999999995
±è¹Î¼®,Áß°ß¼ö,0.067,20,15,1,1,0,0,0,0,3,1,3,0,0,1,0,0.263,0.067,0.33,1,·Ôµ¥,1,2,1,-0.003,0.286,0.6560000000000001
È²¼ººó,ÁÂÀÍ¼ö,0.542,27,24,9,13,0,2,3,8,0,3,3,0,0,0,0,0.593,1.083,1.676,2,·Ôµ¥,8,39,5,-0.571,0.262,15.825999999999997
À±µ¿Èñ,Áß°ß¼ö,0.345,132,113,22,39,6,2,1,20,2,14,23,1,0,2,1,0.423,0.46,0.883,2,·Ôµ¥,30,5,4,-0.041,0.33,21.135999999999996
³ª½Â¿±,1·ç¼ö,0.3,11,10,1,3,0,0,0,1,0,1,2,0,0,0,0,0.364,0.3,0.664,2,·Ôµ¥,3,0,0,-1.356,0.326,1.1940000000000002
°í½Â¹Î,2·ç¼ö,0.29,191,176,34,51,13,1,5,24,1,14,30,3,0,0,0,0.346,0.46,0.806,2,·Ôµ¥,32,4,2,0.165,0.372,26.179999999999996
±è¹Î¼®,Áß°ß¼ö,0.235,17,17,3,4,0,1,0,2,0,0,4,2,0,0,0,0.235,0.353,0.588,2,·Ôµ¥,3,2,1,-0.003,0.286,0.6380000000000001
Á¤ÈÆ,1·ç¼ö,0.222,52,45,7,10,3,0,2,4,0,7,9,1,0,0,0,0.327,0.422,0.749,2,·Ôµ¥,5,1,1,-0.323,0.282,6.188
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.335,176,158,24,53,9,1,5,29,1,14,24,5,0,0,3,0.386,0.5,0.886,3,·Ôµ¥,38,4,0,-0.146,0.414,29.157999999999998
°í½Â¹Î,2·ç¼ö,0.315,108,92,15,29,4,0,2,23,0,13,18,2,0,0,3,0.389,0.424,0.813,3,·Ôµ¥,23,4,2,0.165,0.372,16.316
¼ÕÈ£¿µ,3·ç¼ö,0.28,55,50,8,14,1,0,3,12,2,3,8,0,1,0,0,0.345,0.48,0.825,3,·Ôµ¥,10,6,4,-0.462,0.373,8.145999999999999
³ª½Â¿±,1·ç¼ö,0.176,19,17,1,3,2,0,0,2,0,2,5,1,0,0,0,0.263,0.294,0.557,3,·Ôµ¥,1,0,0,-1.356,0.326,0.9500000000000001
·¹ÀÌ¿¹½º,¿ìÀÍ¼ö,0.368,261,239,37,88,18,1,5,52,0,18,36,5,1,0,4,0.406,0.515,0.921,4,·Ôµ¥,64,4,0,-0.146,0.414,45.702
³ª½Â¿±,1·ç¼ö,0.336,163,140,24,47,14,3,2,26,0,21,29,1,0,1,1,0.42,0.521,0.941,5,·Ôµ¥,28,0,0,-1.356,0.326,28.658
¼ÕÈ£¿µ,3·ç¼ö,0.324,79,71,16,23,6,1,5,17,2,5,13,2,0,0,1,0.38,0.648,1.028,5,·Ôµ¥,11,6,4,-0.462,0.373,15.445999999999994
Á¤ÈÆ,1·ç¼ö,0.29,73,69,4,20,6,0,1,11,0,4,16,0,0,0,0,0.329,0.42,0.749,5,·Ôµ¥,13,1,1,-0.323,0.282,8.941999999999998
³ëÁøÇõ,À¯°Ý¼ö,0.138,34,29,2,4,1,0,0,2,0,4,8,0,0,0,1,0.235,0.172,0.407,5,·Ôµ¥,3,0,0,-0.06,0.2,1.6359999999999997
¼ÕÈ£¿µ,3·ç¼ö,0.38,73,71,11,27,8,1,3,18,1,1,13,0,0,0,0,0.397,0.648,1.045,6,·Ôµ¥,15,6,4,-0.462,0.373,15.036000000000001
¹Ú½Â¿í,3·ç¼ö,0.333,27,24,4,8,2,0,1,5,1,2,6,0,0,0,0,0.407,0.542,0.949,6,·Ôµ¥,5,1,4,0.293,0.25,3.8120000000000003
³ª½Â¿±,1·ç¼ö,0.268,91,71,11,19,3,1,3,11,3,15,16,0,0,0,2,0.407,0.465,0.872,6,·Ôµ¥,12,0,0,-1.356,0.326,15.572000000000003
Á¤ÈÆ,1·ç¼ö,0.261,56,46,6,12,2,0,2,8,0,7,11,1,0,1,2,0.345,0.435,0.78,6,·Ôµ¥,8,1,1,-0.323,0.282,7.822
À±µ¿Èñ,Áß°ß¼ö,0.241,33,29,3,7,1,0,1,5,0,4,6,2,0,0,0,0.333,0.379,0.712,6,·Ôµ¥,5,5,4,-0.041,0.33,2.871999999999999
ÃÖÇ×,2·ç¼ö,0.222,11,9,1,2,0,0,0,0,0,2,2,0,0,0,0,0.364,0.222,0.586,6,·Ôµ¥,2,0,1,0.445,0.239,0.7140000000000002
³ëÁøÇõ,À¯°Ý¼ö,0.214,16,14,0,3,1,0,0,0,1,1,4,0,1,0,0,0.313,0.286,0.599,6,·Ôµ¥,2,0,0,-0.06,0.2,1.2880000000000003
À±µ¿Èñ,Áß°ß¼ö,0.455,11,11,2,5,3,0,1,1,0,0,2,0,0,0,0,0.455,1.0,1.455,7,·Ôµ¥,1,5,4,-0.041,0.33,3.1639999999999997
³ª½Â¿±,1·ç¼ö,0.333,24,21,2,7,3,0,0,0,0,3,6,0,0,0,0,0.417,0.476,0.893,7,·Ôµ¥,4,0,0,-1.356,0.326,3.872
Á¤ÈÆ,1·ç¼ö,0.311,54,45,7,14,3,0,3,12,0,8,5,0,0,0,1,0.407,0.578,0.985,7,·Ôµ¥,8,1,1,-0.323,0.282,10.6
±è¹Î¼®,Áß°ß¼ö,0.231,14,13,0,3,0,0,0,0,0,1,5,1,0,0,0,0.286,0.231,0.517,7,·Ôµ¥,3,2,1,-0.003,0.286,0.5700000000000002
³ëÁøÇõ,À¯°Ý¼ö,0.222,21,18,1,4,0,0,0,3,0,2,7,0,0,1,0,0.3,0.222,0.522,7,·Ôµ¥,4,0,0,-0.06,0.2,1.4040000000000004
¹Ú½Â¿í,3·ç¼ö,0.219,87,73,11,16,3,0,2,11,2,9,27,0,1,2,1,0.318,0.342,0.66,7,·Ôµ¥,11,1,4,0.293,0.25,8.194
ÃÖÇ×,2·ç¼ö,0.157,57,51,4,8,1,1,0,4,1,5,15,0,0,0,0,0.246,0.216,0.462,7,·Ôµ¥,6,0,1,0.445,0.239,2.4899999999999993
°í½Â¹Î,2·ç¼ö,0.118,18,17,0,2,0,0,0,0,0,1,5,0,0,0,0,0.167,0.118,0.285,7,·Ôµ¥,2,4,2,0.165,0.372,0.030000000000000027
¼ÕÈ£¿µ,3·ç¼ö,0.1,13,10,2,1,0,0,0,0,0,2,3,0,0,1,0,0.25,0.1,0.35,7,·Ôµ¥,1,6,4,-0.462,0.373,0.18600000000000014
¹Ú½Â¿í,3·ç¼ö,0.25,106,88,10,22,7,0,1,16,4,12,26,2,1,0,2,0.358,0.364,0.722,8,·Ôµ¥,14,1,4,0.293,0.25,11.581999999999997
Á¤º¸±Ù,Æ÷¼ö,0.208,56,53,4,11,0,0,2,3,0,0,10,2,0,3,0,0.208,0.321,0.529,8,·Ôµ¥,9,0,0,0.118,0.19,2.9000000000000004
ÃÖÇ×,2·ç¼ö,0.194,32,31,1,6,0,0,0,3,0,1,9,2,0,0,0,0.219,0.194,0.413,8,·Ôµ¥,6,0,1,0.445,0.239,-0.041999999999999926
¼Õ¼ººó,Æ÷¼ö,0.19,44,42,6,8,0,2,2,4,0,2,10,2,0,0,0,0.227,0.429,0.656,8,·Ôµ¥,4,0,0,0.246,0.179,3.76
³ëÁøÇõ,À¯°Ý¼ö,0.0,12,10,0,0,0,0,0,0,0,2,2,1,0,0,0,0.167,0.0,0.167,8,·Ôµ¥,0,0,0,-0.06,0.2,-0.6059999999999999
ÃÖÇ×,2·ç¼ö,0.476,22,21,4,10,0,0,0,4,0,1,4,1,0,0,0,0.5,0.476,0.976,9,·Ôµ¥,10,0,1,0.445,0.239,3.6279999999999997
È²¼ººó,ÁÂÀÍ¼ö,0.433,31,30,7,13,2,0,0,3,0,0,1,0,0,1,0,0.433,0.5,0.933,9,·Ôµ¥,11,39,5,-0.571,0.262,10.861999999999998
¹Ú½Â¿í,3·ç¼ö,0.278,87,79,6,22,2,1,0,5,1,7,24,3,0,0,0,0.345,0.329,0.674,9,·Ôµ¥,19,1,4,0.293,0.25,7.168000000000003
±è¹Î¼®,Áß°ß¼ö,0.278,18,18,3,5,2,0,0,4,0,0,5,1,0,0,0,0.278,0.389,0.667,9,·Ôµ¥,3,2,1,-0.003,0.286,1.4
Á¤º¸±Ù,Æ÷¼ö,0.206,37,34,2,7,0,0,0,1,0,2,11,2,0,1,0,0.25,0.206,0.456,9,·Ôµ¥,7,0,0,0.118,0.19,0.9619999999999997
¼Õ¼ººó,Æ÷¼ö,0.2,54,50,6,10,4,0,1,6,1,3,13,1,0,0,0,0.259,0.34,0.599,9,·Ôµ¥,5,0,0,0.246,0.179,4.106
³ëÁøÇõ,À¯°Ý¼ö,0.2,13,10,2,2,1,0,0,3,0,2,2,0,0,0,1,0.308,0.3,0.608,9,·Ôµ¥,1,0,0,-0.06,0.2,1.5339999999999998
