선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
이성규,우익수,0.294,19,17,3,5,0,0,1,1,0,2,2,0,0,0,0,0.368,0.471,0.839,1,삼성,4,8,2,0.588,0.3,3.824000000000001
김헌곤,우익수,0.289,44,38,7,11,2,0,2,3,1,5,5,2,0,0,0,0.386,0.5,0.886,1,삼성,7,3,2,-0.015,0.286,6.549999999999997
김지찬,중견수,0.283,288,240,49,68,9,0,1,16,7,32,20,1,1,8,1,0.382,0.333,0.715,1,삼성,58,27,2,0.657,0.246,38.989999999999995
류지혁,2루수,0.2,11,10,1,2,1,0,0,1,0,1,3,0,0,0,0,0.273,0.3,0.573,1,삼성,1,7,4,0.351,0.328,0.7960000000000003
김현준,중견수,0.192,29,26,4,5,4,1,0,2,0,2,6,1,0,0,1,0.241,0.423,0.664,1,삼성,0,0,0,0.633,0.185,2.662
류지혁,2루수,0.375,16,16,3,6,1,0,0,5,0,0,2,0,0,0,0,0.375,0.438,0.813,2,삼성,5,7,4,0.351,0.328,2.2839999999999994
김헌곤,우익수,0.327,58,52,9,17,2,0,3,10,0,6,9,0,0,0,0,0.397,0.538,0.935,2,삼성,12,3,2,-0.015,0.286,10.478
이성규,우익수,0.261,26,23,1,6,0,0,1,5,1,1,10,0,0,1,0,0.32,0.391,0.711,2,삼성,5,8,2,0.588,0.3,3.850000000000001
이재현,유격수,0.26,170,146,28,38,11,0,7,27,1,22,35,2,0,0,1,0.359,0.479,0.838,2,삼성,20,1,0,0.749,0.359,25.630000000000003
김지찬,중견수,0.25,23,20,3,5,1,0,0,0,1,2,1,1,0,0,0,0.348,0.3,0.648,2,삼성,4,27,2,0.657,0.246,6.232
김현준,중견수,0.154,14,13,1,2,0,0,0,1,0,0,4,0,0,1,0,0.154,0.154,0.308,2,삼성,2,0,0,0.633,0.185,0.01799999999999998
이성규,우익수,0.167,15,12,2,2,1,0,0,2,2,0,5,1,0,1,0,0.286,0.25,0.536,3,삼성,1,8,2,0.588,0.3,1.4300000000000002
강민호,포수,0.344,70,61,10,21,1,0,4,16,1,7,11,2,0,0,1,0.414,0.557,0.971,4,삼성,16,2,0,0.69,0.304,13.501999999999999
김영웅,3루수,0.246,74,61,12,15,1,0,4,11,1,11,18,0,0,0,1,0.365,0.459,0.824,4,삼성,10,8,1,-0.241,0.305,12.766
이재현,유격수,0.3,34,30,2,9,2,0,0,3,0,4,6,0,1,0,0,0.382,0.367,0.749,5,삼성,7,1,0,0.749,0.359,4.451999999999999
류지혁,2루수,0.286,69,63,10,18,2,0,1,12,1,3,12,2,0,1,1,0.324,0.365,0.689,5,삼성,15,7,4,0.351,0.328,7.244
강민호,포수,0.283,67,60,8,17,2,0,3,9,0,6,6,6,1,0,1,0.343,0.467,0.81,5,삼성,12,2,0,0.69,0.304,8.302000000000001
김재혁,좌익수,0.222,20,18,3,4,1,1,0,3,0,1,8,0,0,0,1,0.25,0.389,0.639,5,삼성,2,2,2,0.047,0.095,1.8659999999999992
김영웅,3루수,0.21,112,100,12,21,3,2,5,14,0,11,31,0,0,0,1,0.286,0.43,0.716,5,삼성,11,8,1,-0.241,0.305,14.812
이성규,우익수,0.152,40,33,5,5,0,0,3,7,1,6,9,1,0,0,0,0.3,0.424,0.724,5,삼성,2,8,2,0.588,0.3,5.538
이재현,유격수,0.357,31,28,9,10,2,0,1,6,0,3,4,0,0,0,0,0.419,0.536,0.955,6,삼성,7,1,0,0.749,0.359,5.927999999999998
이성규,우익수,0.31,32,29,5,9,2,0,1,3,2,1,10,0,0,0,0,0.375,0.483,0.858,6,삼성,6,8,2,0.588,0.3,5.8199999999999985
강민호,포수,0.288,58,52,4,15,1,0,2,7,2,4,7,2,0,0,0,0.362,0.423,0.785,6,삼성,12,2,0,0.69,0.304,7.8740000000000006
김영웅,3루수,0.283,104,92,20,26,4,0,6,16,1,9,31,1,0,1,1,0.35,0.522,0.872,6,삼성,16,8,1,-0.241,0.305,17.892000000000003
류지혁,2루수,0.282,47,39,5,11,2,0,0,5,1,7,11,0,0,0,0,0.404,0.333,0.737,6,삼성,9,7,4,0.351,0.328,6.032
김헌곤,우익수,0.231,13,13,1,3,0,0,1,1,0,0,2,0,0,0,0,0.231,0.462,0.693,6,삼성,2,3,2,-0.015,0.286,1.424
윤정빈,우익수,0.207,34,29,2,6,1,0,2,3,0,4,10,0,0,0,1,0.294,0.448,0.742,6,삼성,3,1,1,0.024,0.176,4.54
김영웅,3루수,0.375,33,32,1,12,4,1,1,5,0,1,12,0,0,0,0,0.394,0.656,1.05,7,삼성,6,8,1,-0.241,0.305,7.923999999999998
안주형,2루수,0.333,18,15,2,5,1,0,0,1,0,2,3,0,0,1,0,0.412,0.4,0.812,7,삼성,4,4,1,-0.335,0.222,2.9160000000000004
강민호,포수,0.333,41,39,5,13,2,0,1,8,0,1,6,0,0,0,1,0.341,0.462,0.803,7,삼성,10,2,0,0.69,0.304,6.5619999999999985
이성규,우익수,0.317,69,60,17,19,1,1,9,20,3,4,16,0,0,1,1,0.382,0.817,1.199,7,삼성,8,8,2,0.588,0.3,18.491999999999997
윤정빈,우익수,0.313,19,16,3,5,0,0,1,2,0,3,3,0,0,0,0,0.421,0.5,0.921,7,삼성,4,1,1,0.024,0.176,3.3059999999999996
류지혁,2루수,0.311,51,45,4,14,0,0,0,5,1,4,10,1,0,0,1,0.373,0.311,0.684,7,삼성,14,7,4,0.351,0.328,5.8100000000000005
김헌곤,우익수,0.214,30,28,4,6,2,0,1,5,0,1,8,1,0,1,0,0.241,0.393,0.634,7,삼성,3,3,2,-0.015,0.286,2.2460000000000004
이병헌,포수,0.182,12,11,0,2,1,0,0,0,0,1,6,0,0,0,0,0.25,0.273,0.523,7,삼성,1,0,0,0.136,0.13,0.702
김현준,중견수,0.0,15,13,1,0,0,0,0,1,0,1,7,1,0,0,1,0.067,0.0,0.067,7,삼성,0,0,0,0.633,0.185,-0.8860000000000002
이성규,우익수,0.4,27,20,4,8,1,0,2,5,1,5,5,0,0,1,0,0.538,0.75,1.288,8,삼성,5,8,2,0.588,0.3,7.8599999999999985
윤정빈,우익수,0.333,22,21,2,7,0,0,0,2,1,0,8,0,0,0,0,0.364,0.333,0.697,8,삼성,7,1,1,0.024,0.176,2.3759999999999994
