선수명,포지션_x,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,포지션_y,추정득점
구자욱,좌익수,0.379,35,29,6,11,1,1,1,4,1,5,4,0,0,0,0,0.486,0.586,1.072,1,삼성,8,8,4,0.245,0.296,좌익수,7.747999999999998
김지찬,중견수,0.307,330,280,56,86,12,0,1,20,7,33,23,2,2,9,1,0.393,0.361,0.754,1,삼성,73,29,3,0.727,0.247,"중견수,2루수,중견수",46.606
이성규,우익수,0.294,19,17,3,5,0,0,1,1,0,2,2,0,0,0,0,0.368,0.471,0.839,1,삼성,4,8,2,0.626,0.281,"우익수,우익수,중견수,좌익수,1루수",3.824000000000001
김헌곤,우익수,0.293,48,41,8,12,2,0,2,3,1,5,6,2,0,1,0,0.383,0.488,0.871,1,삼성,8,3,2,0.025,0.279,"우익수,중견수,좌익수,좌익수",6.9019999999999975
류지혁,2루수,0.2,11,10,1,2,1,0,0,1,0,1,3,0,0,0,0,0.273,0.3,0.573,1,삼성,1,8,4,0.025,0.309,"2루수,1루수,2루수,3루수",0.976
김현준,중견수,0.192,29,26,4,5,4,1,0,2,0,2,6,1,0,0,1,0.241,0.423,0.664,1,삼성,0,1,0,0.698,0.212,"우익수,우익수,중견수,좌익수",2.8419999999999996
윤정빈,우익수,0.625,13,8,4,5,0,0,1,2,0,5,2,0,0,0,0,0.769,1.0,1.769,2,삼성,4,1,2,0.067,0.238,"우익수,우익수,좌익수,1루수",4.394000000000001
김헌곤,우익수,0.309,75,68,10,21,2,0,3,11,1,6,9,0,0,0,0,0.373,0.471,0.844,2,삼성,16,3,2,0.025,0.279,"우익수,중견수,좌익수,좌익수",11.738
류지혁,2루수,0.286,21,21,3,6,1,0,0,5,0,0,3,0,0,0,0,0.286,0.333,0.619,2,삼성,5,8,4,0.025,0.309,"2루수,1루수,2루수,3루수",2.006
이성규,우익수,0.261,26,23,1,6,0,0,1,5,1,1,10,0,0,1,0,0.32,0.391,0.711,2,삼성,5,8,2,0.626,0.281,"우익수,우익수,중견수,좌익수,1루수",3.850000000000001
이재현,유격수,0.253,174,150,28,38,11,0,7,27,1,22,36,2,0,0,1,0.351,0.467,0.818,2,삼성,20,1,0,0.869,0.32,유격수,25.262000000000004
김지찬,중견수,0.25,23,20,3,5,1,0,0,0,1,2,1,1,0,0,0,0.348,0.3,0.648,2,삼성,4,29,3,0.727,0.247,"중견수,2루수,중견수",6.271999999999999
구자욱,좌익수,0.206,38,34,7,7,1,0,3,6,1,3,9,0,0,0,0,0.289,0.5,0.789,2,삼성,3,8,4,0.245,0.296,좌익수,5.558000000000001
김현준,중견수,0.143,22,21,1,3,0,0,0,1,0,0,6,0,0,1,0,0.143,0.143,0.286,2,삼성,3,1,0,0.698,0.212,"우익수,우익수,중견수,좌익수",0.05199999999999979
구자욱,좌익수,0.317,324,287,45,91,24,0,15,62,7,26,40,3,2,0,4,0.383,0.557,0.94,3,삼성,52,8,4,0.245,0.296,좌익수,58.489999999999995
이재현,유격수,0.259,31,27,3,7,0,0,1,4,1,2,6,2,0,0,1,0.323,0.37,0.693,3,삼성,6,1,0,0.869,0.32,유격수,3.421999999999999
